gen,best_fitness,mean_fitness,viable_count,champ_train_sortino,champ_train_trades,champ_train_pf,champ_train_dd,champ_holdout_sortino,champ_holdout_trades,champ_holdout_pf
0,0.17807476872829797,0.17807476872829797,1,1.3808238980699574,32,2.159687164866208,-0.037271359827787176,0.30833107881391947,11,1.6764790764790767
1,3.3341631714523476,1.2555805175831374,6,4.068713831699844,41,2.1758871536523925,-0.08483488752786794,2.91292859687492,19,1.6895502993710128
2,5.286232366734417,1.5765634377600437,24,5.545655977002191,48,3.42439828969449,-0.07036329871946423,0.642666844697696,21,1.4000598491172254
3,6.174382017420972,2.5349060647333497,37,6.479458853764208,51,2.6970970346447443,-0.019964161394304236,4.490130100007884,21,2.028125420535594
4,8.139622469788709,3.0989632508877962,52,8.878287854932816,71,3.10911162260817,-0.01973829024027418,3.468580510485992,36,2.336006023728607
5,8.334163995342983,4.610086194418884,47,8.329619259014995,40,4.688722032250093,-0.040563130284556936,2.8827712454869747,18,1.7781646372399795
6,10.229463153664685,4.752362080203995,54,10.256472533338673,36,4.6891961462087215,-0.04360274040928591,4.527201127097999,16,2.21701347310511
7,10.229463153664685,5.034100727008226,56,10.256472533338673,36,4.6891961462087215,-0.04360274040928591,4.527201127097999,16,2.21701347310511
8,10.229463153664685,5.894958507467256,59,10.256472533338673,36,4.6891961462087215,-0.04360274040928591,4.527201127097999,16,2.21701347310511
9,12.599887839825069,5.770748841773446,52,13.326640898945685,35,7.4440124890199275,-0.04348422706180943,3.6337856749502433,16,2.104643199561704
10,12.599887839825069,6.514361099887693,56,13.326640898945685,35,7.4440124890199275,-0.04348422706180943,3.6337856749502433,16,2.104643199561704
11,12.599887839825069,6.708939327712437,60,13.326640898945685,35,7.4440124890199275,-0.04348422706180943,3.6337856749502433,16,2.104643199561704
12,13.971687332573882,7.4732186338407836,51,14.604577218397948,36,8.549644714038127,-0.04447311553177136,3.990167512414889,16,2.1118325812125414
13,13.971687332573882,7.4960062930726785,58,14.604577218397948,36,8.549644714038127,-0.04447311553177136,3.990167512414889,16,2.1118325812125414
14,13.971687332573882,7.73720578153866,57,14.604577218397948,36,8.549644714038127,-0.04447311553177136,3.990167512414889,16,2.1118325812125414
