gen,best_fitness,mean_fitness,viable_count,champ_train_sortino,champ_train_trades,champ_train_pf,champ_train_dd,champ_holdout_sortino,champ_holdout_trades,champ_holdout_pf
0,-2.0456586217153383,-9.760789919550488,0,-1.1741389258660773,73,0.9803423069927986,-0.14006760970455745,-2.157635864409134,32,0.8959706448364226
1,1.5931166620936743,0.8186283135993822,8,2.044715970204433,34,1.610877886872752,-0.03819742115353897,10.74450610215066,13,5.6096111111111115
2,2.0090449454584784,1.0139270116734835,23,2.2278983510580708,82,1.5588033093280704,-0.06080581619855607,1.4557521563204538,41,1.3893742450085735
3,4.007898407793926,1.5256316788810855,39,6.735960385194789,35,3.3441154465045253,-0.03850580215422905,1.1389702120963603,17,1.2723162300808832
4,4.416887039606371,2.041491197142041,43,4.979387738521733,39,2.4477386975614923,-0.03176437302034141,6.702776942007999,19,2.612176177434562
5,5.886510534143444,3.3232977291924115,41,6.832091038666103,52,2.557788342871426,-0.03831702785150859,3.2273363924443936,23,1.7121288498186509
6,6.355260513209966,3.311345881570209,40,8.315902532212952,79,3.2141351177926487,-0.015535435944942333,0.26363132532464245,39,1.244135090128254
7,8.656543952840455,3.691245007146914,50,9.293187424598685,65,3.9358923450253687,-0.015194987371202617,3.4764911175219244,33,1.750325425152215
8,8.656543952840455,4.8189343079598315,48,9.293187424598685,65,3.9358923450253687,-0.015194987371202617,3.4764911175219244,33,1.750325425152215
9,9.7888731092326,4.851306172243019,63,11.471571002108591,69,4.286918331067657,-0.011907249094219807,4.34839911899785,33,2.0122190201729104
10,9.7888731092326,5.624779871441929,59,11.471571002108591,69,4.286918331067657,-0.011907249094219807,4.34839911899785,33,2.0122190201729104
11,9.7888731092326,6.365317051242223,64,11.471571002108591,69,4.286918331067657,-0.011907249094219807,4.34839911899785,33,2.0122190201729104
12,9.7888731092326,6.167180486951493,62,11.471571002108591,69,4.286918331067657,-0.011907249094219807,4.34839911899785,33,2.0122190201729104
13,9.7888731092326,6.265640434359502,60,11.471571002108591,69,4.286918331067657,-0.011907249094219807,4.34839911899785,33,2.0122190201729104
14,10.447612642034263,6.166849027890853,61,12.384548612804858,68,5.333250280303973,-0.011907249094219696,4.5129407541013515,32,1.9949800109031441
