gen,best_fitness,mean_fitness,viable_count,champ_train_sortino,champ_train_trades,champ_train_pf,champ_train_dd,champ_holdout_sortino,champ_holdout_trades,champ_holdout_pf
0,1.6116234155871823,1.1108765687061628,4,1.8954679277211115,25,1.737826566907887,-0.04403083707221278,1.6763903651874215,13,1.4306999489858745
1,3.6530806334645103,1.2886378277330877,21,4.840314159903455,32,2.452789232023111,-0.08124879010082209,0.16080123533764668,16,1.1481358486710178
2,4.654713895943877,1.5355911254875338,40,5.234966189376203,73,2.3618058321628475,-0.031164766858063908,5.894021923005009,36,2.4060121297354313
3,6.324423997705502,2.819530844987502,48,6.631351009104562,51,3.4715457741893467,-0.012132607313741661,3.447358237828314,19,2.361332966125034
4,7.97181350921697,3.5891092280903494,53,8.352376843768711,59,3.466142497460135,-0.011934653705575782,3.0997982612120936,25,1.6931894243641232
5,7.97181350921697,3.923152543097548,50,8.352376843768711,59,3.466142497460135,-0.011934653705575782,3.0997982612120936,25,1.6931894243641232
6,8.509115623551148,4.1499684210163705,61,8.916439161555964,55,4.500248929602707,-0.011967270043829359,4.940994165623803,26,2.776486908271198
7,9.274331351800008,4.964788994762608,55,9.717075083938003,63,3.557681867535288,-0.011934653705575893,4.718885117016469,26,1.9848625354571243
8,9.274331351800008,4.630112219679921,70,9.717075083938003,63,3.557681867535288,-0.011934653705575893,4.718885117016469,26,1.9848625354571243
9,9.55332288963823,5.696756159412382,63,10.009385291339774,64,3.6195033476759217,-0.011934653705576115,4.718885117016097,26,1.9849914353299438
10,9.591447402857037,5.574618898934636,73,10.055212874547642,66,3.416717660017134,-0.012087994966027304,4.096141040264288,28,1.8602286850608998
11,10.091866805838022,5.607251857677879,78,10.592005745253637,66,3.827212671578427,-0.012389653694356406,5.467977426343965,26,2.103349125065038
12,10.091866805838022,6.058785362877994,73,10.592005745253637,66,3.827212671578427,-0.012389653694356406,5.467977426343965,26,2.103349125065038
13,10.531698386966175,6.482146905018384,78,11.040926855307635,66,3.9036416184971094,-0.012087994966027304,4.757044842647432,26,1.9903384235527766
14,11.517053266174136,6.116380949839214,79,11.858347065220112,69,4.060779634049324,-0.007408444485716759,2.1138669899381206,33,1.6685899117055687
