cycle,window_start,window_end,best_fit,mean_fit,genomes_multi_window
0,2023-09-18,2024-09-27,1.948770020092126,0.7740149376792714,0
1,2024-01-26,2025-02-07,0.5557213979440643,0.22565345026966696,10
2,2024-01-09,2025-01-22,0.9349169695937045,0.33669731389941937,20
3,2024-05-30,2025-06-12,2.14781051916327,0.712216398039867,29
4,2024-09-20,2025-10-03,1.9432069076490395,0.6587298540204484,37
5,2024-03-12,2025-03-25,3.3415178366048117,0.9794357257254193,45
6,2024-07-26,2025-08-08,2.6352616736311383,1.0327871760079197,55
7,2023-09-11,2024-09-20,3.1929696811023613,1.4297747651104882,65
8,2024-11-08,2025-11-21,2.6596704630702757,1.1946444003472267,75
9,2023-11-10,2024-11-21,2.644039672329112,1.462016429529078,83
10,2024-07-02,2025-07-16,3.3752832160473742,1.3300606127021035,92
11,2023-07-06,2024-07-17,2.836790446165121,1.144785998376097,102
