gen,best_fitness,mean_fitness,viable_count,champ_train_sortino,champ_train_trades,champ_train_pf,champ_train_dd,champ_holdout_sortino,champ_holdout_trades,champ_holdout_pf
0,0.9659765580400984,0.42190075684337464,12,1.2753934240817366,58,2.00834293889381,-0.10474493243680316,2.8635959321110036,21,8.51335049059032
1,1.2818390284849057,0.5514006393844936,43,1.5214299113695584,71,1.7756481290708181,-0.12038893186552924,0.6406508092513769,28,1.2989691049566296
2,2.155830919972893,0.7401176254889857,52,2.500938598002171,77,2.2496124004737617,-0.08219381069869525,1.520846469956356,35,1.6731191743608034
3,2.155830919972893,0.8497915746893407,67,2.500938598002171,77,2.2496124004737617,-0.08219381069869525,1.520846469956356,35,1.6731191743608034
4,2.155830919972893,1.0582984780887423,68,2.500938598002171,77,2.2496124004737617,-0.08219381069869525,1.520846469956356,35,1.6731191743608034
5,2.235194893415652,1.1680135006414578,60,2.887003099018411,85,2.427721906707677,-0.08207164710366299,1.6905263306667617,40,1.6677174644767605
6,2.4227295203157397,1.3339527366608908,70,2.824743140535499,88,2.275154847758897,-0.102986291320317,2.122042492047944,42,1.89208311958267
7,2.4533105360087664,1.3004727903476079,68,3.1481432305296426,80,2.6856004799512183,-0.07167636772678021,1.272401032563234,38,1.4910734535210821
8,2.921991770108361,1.5381316280370607,75,3.0105785306513857,69,2.765176040586753,-0.062038884567359065,2.3736935682939686,33,2.0990458695825067
9,2.921991770108361,1.4252635677989962,77,3.0105785306513857,69,2.765176040586753,-0.062038884567359065,2.3736935682939686,33,2.0990458695825067
10,2.921991770108361,1.481343598214461,72,3.0105785306513857,69,2.765176040586753,-0.062038884567359065,2.3736935682939686,33,2.0990458695825067
11,2.921991770108361,1.6908315691983107,75,3.0105785306513857,69,2.765176040586753,-0.062038884567359065,2.3736935682939686,33,2.0990458695825067
12,2.921991770108361,1.63988317772294,68,3.0105785306513857,69,2.765176040586753,-0.062038884567359065,2.3736935682939686,33,2.0990458695825067
13,2.921991770108361,1.5812075665723306,80,3.0105785306513857,69,2.765176040586753,-0.062038884567359065,2.3736935682939686,33,2.0990458695825067
14,2.9851400907251655,1.6079761744142345,80,3.6368259290633027,79,3.2365964376851366,-0.07141543448144005,1.9305591336365477,39,1.8275947921090787
