gen,best_fitness,mean_fitness,viable_count,champ_train_sortino,champ_train_trades,champ_train_pf,champ_train_dd,champ_holdout_sortino,champ_holdout_trades,champ_holdout_pf
0,-2.499607090651499,-9.729996070906516,0,-1.2778348172624883,57,0.9569911997702819,-0.17705993487851812,0.20628673425823643,28,1.7763351271312857
1,1.1078459564701735,0.46753206781855694,5,1.725303381007181,48,1.3597989156775887,-0.023599086593825813,5.031533833198049,18,2.2902530717036496
2,3.7342339590977853,1.1947983313521082,18,3.7763570891065594,34,2.298581122763726,-0.041938964372351784,6.564402112851238,15,3.3378181353114202
3,3.7342339590977853,1.618273854716283,33,3.7763570891065594,34,2.298581122763726,-0.041938964372351784,6.564402112851238,15,3.3378181353114202
4,5.044490773987521,2.1813067131978046,33,5.419722957709702,31,2.4361051926097086,-0.03253361252076814,4.007801934558723,15,2.1774854261855996
5,5.987663180112132,2.2679877929230075,31,5.798627459180382,36,2.734606275902901,-0.02698474941155682,2.7286325655656825,19,1.644854948263823
6,6.702618341265184,3.6108916748265005,26,6.436336282414403,39,2.9948157331229575,-0.02813404155953081,2.142235920314996,20,1.4771642274968417
7,6.966935404736484,4.714008695765331,41,7.025359316639657,40,3.326508226691042,-0.030433337058214827,4.45307179926841,17,2.199861028069098
8,7.224582183489019,5.774873367279412,37,7.138494033192922,39,3.3414108003163876,-0.028133225432174336,2.2648907383104704,20,1.5004290712258235
9,7.224582183489019,5.651792725568914,37,7.138494033192922,39,3.3414108003163876,-0.028133225432174336,2.2648907383104704,20,1.5004290712258235
10,7.224582183489019,5.53655314372589,40,7.138494033192922,39,3.3414108003163876,-0.028133225432174336,2.2648907383104704,20,1.5004290712258235
11,7.793252238680689,6.011385431521392,47,7.898043400569495,39,3.5899717644880575,-0.028018061232837677,3.361458681377621,20,1.7656639866925423
12,7.962022093545599,5.966428734916566,52,8.092767059635936,39,3.645275654202369,-0.028017000207336218,3.491152848109385,20,1.7909698035564445
13,7.962022093545599,5.3796780561864335,54,8.092767059635936,39,3.645275654202369,-0.028017000207336218,3.491152848109385,20,1.7909698035564445
14,7.962022093545599,6.245510230109049,46,8.092767059635936,39,3.645275654202369,-0.028017000207336218,3.491152848109385,20,1.7909698035564445
