gen,best_fitness,mean_fitness,viable_count,champ_train_sortino,champ_train_trades,champ_train_pf,champ_train_dd,champ_holdout_sortino,champ_holdout_trades,champ_holdout_pf
0,1.043566691570065,0.5451119028247173,10,1.2468504614775084,98,2.931718006196006,-0.023532389314604774,0.7009583718197635,46,1.9189955709808588
1,1.0941594747782528,0.49782768899769997,43,1.4214258324479498,86,2.6104235730273126,-0.024061514325978806,1.4325165774524748,42,3.1750893516762173
2,1.5306006988601741,0.6361798191034088,62,2.080276822497074,67,2.2982522383190562,-0.07220447291997578,0.8164255306372037,29,1.3658638716333764
3,1.9700333015960028,0.8142086917047904,64,2.23128873827101,162,2.2654438458835933,-0.02540211837704809,1.6446490763436328,86,2.124829377834529
4,1.9700333015960028,1.025265055521539,65,2.23128873827101,162,2.2654438458835933,-0.02540211837704809,1.6446490763436328,86,2.124829377834529
5,2.1775350479667717,1.2107867183212488,83,2.4957352160184394,186,2.356747584983514,-0.02328235044922744,1.277909679789973,93,1.7532593494834663
6,2.314947809716316,1.2056803091068395,88,2.424620659704697,131,3.0366441816642546,-0.031080781587343953,1.1398427253820456,66,2.0559867679399755
7,2.405795911495558,1.2897703991045808,89,2.954775206256801,195,2.517896137724924,-0.11723130524401104,2.369495181845475,96,2.5071148564208117
8,2.405795911495558,1.4094028454921501,82,2.954775206256801,195,2.517896137724924,-0.11723130524401104,2.369495181845475,96,2.5071148564208117
9,2.524067775271683,1.4554364756892333,85,3.184564156311469,192,2.518947858472998,-0.06647222978775347,2.699626190723384,95,2.635367352550447
10,2.524067775271683,1.5181977228256578,78,3.184564156311469,192,2.518947858472998,-0.06647222978775347,2.699626190723384,95,2.635367352550447
11,2.562301621228295,1.6292650720184527,89,3.286860828460201,190,2.514456519840969,-0.06710535345494661,2.8194095854554972,95,2.7831873408612866
12,2.562301621228295,1.5650228945429334,92,3.286860828460201,190,2.514456519840969,-0.06710535345494661,2.8194095854554972,95,2.7831873408612866
13,2.6594261294202948,1.6361478117857196,84,2.6834842870766584,140,3.1061649876523854,-0.030785242663867285,1.1023612566580974,67,2.221544948107448
14,2.6594261294202948,1.6385231486843908,85,2.6834842870766584,140,3.1061649876523854,-0.030785242663867285,1.1023612566580974,67,2.221544948107448
