gen,best_fitness,mean_fitness,viable_count,champ_train_sortino,champ_train_trades,champ_train_pf,champ_train_dd,champ_holdout_sortino,champ_holdout_trades,champ_holdout_pf
0,4.794114491835055,1.6196353118451274,5,5.499623705878078,35,2.6076096925437358,-0.03679038200091955,6.092557645683091,16,2.341045178397122
1,4.880594540843362,1.1748660630002365,37,5.442796218394388,57,2.1090684550329066,-0.02879780694986178,-0.6114335856762759,23,1.0404640877631315
2,5.476603491769875,2.277924794627907,47,5.876399038396357,39,2.8750920032904705,-0.01825015939291963,1.1238196742626985,17,1.310448699912279
3,6.707949536094338,3.260075624287715,59,7.635472296250045,43,4.080439093732999,-0.03456804330313101,3.1240473151859742,18,1.9100555354109812
4,7.677862787351635,3.7879915581513073,64,7.870239720008995,30,4.695020572676127,-0.006264013110988342,6.926883833730778,13,3.4578546534142247
5,7.677862787351635,4.347861320536331,57,7.870239720008995,30,4.695020572676127,-0.006264013110988342,6.926883833730778,13,3.4578546534142247
6,8.2278083387365,4.94457225051011,56,8.539795196611603,40,3.911247161855335,-0.009479646493655847,1.304315407698749,17,1.3774396295071125
7,8.2278083387365,5.107473697786669,53,8.539795196611603,40,3.911247161855335,-0.009479646493655847,1.304315407698749,17,1.3774396295071125
8,8.2278083387365,5.605690363393248,62,8.539795196611603,40,3.911247161855335,-0.009479646493655847,1.304315407698749,17,1.3774396295071125
9,8.591279671941741,4.971475707254881,69,8.745985607637179,29,5.098263447691658,-0.004501830390898909,6.948304848483228,12,3.9164686528970942
10,8.591279671941741,5.474898292047378,57,8.745985607637179,29,5.098263447691658,-0.004501830390898909,6.948304848483228,12,3.9164686528970942
11,9.202088136374227,5.679111368993817,65,9.67026777119857,33,5.430718475073312,-0.012719385749352718,8.221034396499233,13,4.889068825910932
12,9.24307032292247,6.411235937352539,63,9.396771746987472,29,5.26864099262554,-0.004157206931657442,7.542983256424634,12,3.8676470588235294
13,9.57096185887358,6.3341403909102025,59,9.834860351287482,33,5.667541636495295,-0.006893207190279194,8.238447375980229,13,4.940478299379983
14,9.629956946589864,7.102855365600543,53,9.895476094871032,32,5.764454933284924,-0.006893051281376517,8.34319095759761,13,5.001238718810829
