gen,best_fitness,mean_fitness,viable_count,champ_train_sortino,champ_train_trades,champ_train_pf,champ_train_dd,champ_holdout_sortino,champ_holdout_trades,champ_holdout_pf
0,1.4177416400973053,0.587837188995941,14,2.2415053045222866,103,2.02323117495179,-0.18351928627754643,1.3694766139251497,50,1.5557865864448772
1,1.9900084061365548,0.6833188345093094,56,2.446165269536763,75,2.2005701086155205,-0.021896430431067593,1.2031293267127356,39,1.420439001316748
2,1.9900084061365548,1.0290688013939964,61,2.446165269536763,75,2.2005701086155205,-0.021896430431067593,1.2031293267127356,39,1.420439001316748
3,2.3637248783581613,1.158534527807842,73,2.744852155081547,85,2.305622537431048,-0.041772677330266794,1.197407257649825,48,1.3559161240323887
4,2.3637248783581613,1.1390554158198614,76,2.744852155081547,85,2.305622537431048,-0.041772677330266794,1.197407257649825,48,1.3559161240323887
5,2.3637248783581613,1.2233945887100621,71,2.744852155081547,85,2.305622537431048,-0.041772677330266794,1.197407257649825,48,1.3559161240323887
6,2.3637248783581613,1.198921826017596,75,2.744852155081547,85,2.305622537431048,-0.041772677330266794,1.197407257649825,48,1.3559161240323887
7,2.3637248783581613,1.3424780251450468,68,2.744852155081547,85,2.305622537431048,-0.041772677330266794,1.197407257649825,48,1.3559161240323887
8,2.4214926661082883,1.4999819214931414,80,2.706789942730389,85,2.2902098246859532,-0.033222111440500135,1.5530935806572552,47,1.5805692675407663
9,2.447710434429704,1.3785554462011338,85,2.6931075137022242,88,2.3013692822144476,-0.07315062004846706,1.5067884066478363,48,1.5406900712256255
10,2.447710434429704,1.5113044897583001,78,2.6931075137022242,88,2.3013692822144476,-0.07315062004846706,1.5067884066478363,48,1.5406900712256255
11,2.5366980566144086,1.555511454349113,83,2.6735168697505873,87,2.2195191463273183,-0.04613875390301525,0.6422260834217388,43,1.2214065095570086
12,2.643108552967206,1.6541088865713036,76,2.757225537030209,85,2.3328573755881594,-0.018387089930279044,0.5785559907455202,42,1.196033914393094
13,2.643108552967206,1.6241015626640731,80,2.757225537030209,85,2.3328573755881594,-0.018387089930279044,0.5785559907455202,42,1.196033914393094
14,2.7991449382471436,1.5705230424992072,83,2.9185119303890086,85,2.4109822806115293,-0.022231733429085354,0.664657222131918,42,1.2301973119816987
