gen,best_fitness,mean_fitness,viable_count,champ_train_sortino,champ_train_trades,champ_train_pf,champ_train_dd,champ_holdout_sortino,champ_holdout_trades,champ_holdout_pf
0,2.1038035971753137,2.1038035971753137,1,2.311812951381192,26,1.8806980648255762,-0.02471824775910203,0.41995005575338584,9,1.3104894038725414
1,4.026327616653453,1.0758933490448488,16,5.221501895474702,24,3.2568352251174457,-0.07420994964976535,2.985279316041313,9,1.2689064676139052
2,5.885288147608579,1.4576169278570463,45,6.519602267255025,32,3.0344754203021926,-0.02694490497904478,-3.0582431684116163,18,0.6748189456151631
3,7.185737666796447,2.3724516967008378,56,7.769320495693162,61,2.3894431542961945,-0.02030351148196341,1.431651019415996,29,1.3944243849189688
4,8.558461137316037,3.2932324708502874,64,9.006575487666174,58,2.695190899492524,-0.013089805023367429,1.1852608721126314,30,1.32610470456169
5,8.558461137316037,4.413576220034185,68,9.006575487666174,58,2.695190899492524,-0.013089805023367429,1.1852608721126314,30,1.32610470456169
6,8.811984516070355,5.013926183696425,66,9.295754560145827,60,2.826501006929037,-0.013724775707254833,0.5516071235296887,31,1.2312441752096925
7,8.855082995562325,5.526686517632829,67,9.326528185448836,60,2.8410429523357426,-0.013310016126409363,0.6174933894681895,31,1.2418476951977266
8,9.034223119417101,5.839753100968705,75,9.570125377974499,60,2.8395067561183027,-0.014829782579909745,1.6426706869644292,31,1.417276040578499
9,9.390590843757561,5.569779609026024,73,9.88227485655358,57,2.9030814750667537,-0.013089805023367318,0.0036150765376490738,30,1.13668207930503
10,9.560557509173616,5.511476989026917,74,10.116704998967897,65,2.607970766244148,-0.014542757816702667,2.3894433648920894,31,1.658366907735042
11,9.621992848245677,5.666077750122655,80,10.33003414754971,60,2.912858518835616,-0.018396430720511447,3.6573367327242225,31,1.680486731589722
12,9.849980798143887,5.909320754774448,83,10.363401337201521,56,3.1960457647531113,-0.013031003551661313,-0.039393166654821406,30,1.1291051381189732
13,9.91766691722056,6.127237273687046,77,10.353870501070263,56,3.201290322580646,-0.010995619924790478,0.04475064369125927,30,1.1417402269861288
14,9.991539287911584,6.716095623668167,75,10.430991961805534,56,3.216931090509415,-0.010995619924790478,0.04475064369142927,30,1.1418008682257386
