cycle,window_start,window_end,best_fit,mean_fit,genomes_multi_window
0,2023-11-28,2024-12-09,1.638521178209233,-2.532012409639668,0
1,2024-02-05,2025-02-18,1.0660040630148577,0.4234017412099806,10
2,2023-09-12,2024-09-23,3.1205773277347926,1.4712825128632228,20
3,2023-12-20,2025-01-02,1.9635475577199621,1.0467215296179422,29
4,2024-10-04,2025-10-17,1.516963246888273,0.5695569385608537,39
5,2024-11-08,2025-11-21,2.4639485938533676,1.0216056327288363,49
6,2024-04-29,2025-05-12,3.427791631891264,1.5025056584490821,59
7,2023-07-13,2024-07-24,2.324111174375463,0.8681872335069065,69
8,2024-03-19,2025-04-01,3.843080111380795,1.6261126980684064,79
9,2024-07-26,2025-08-08,3.5174433670530356,1.4356768600046885,89
10,2023-08-02,2024-08-13,1.9582626553003406,1.1303028782281193,99
11,2024-07-11,2025-07-24,2.8459996468289765,1.2467292284974854,108
