swing_n,rr,risk,min_fvg_pct,allow_short,cagr,max_dd,sharpe,win_rate,profit_factor,n_trades,final
2,2.0,0.03,0.001,False,0.17532724720794546,-0.1957464706933708,1.0778359772488395,0.5183823529411765,1.749772881517721,272,25173.8026803123
3,2.0,0.03,0.001,False,0.17087689142295148,-0.2551076868995431,1.0375676570669568,0.5126353790613718,1.675901244485503,277,23337.253086129873
5,2.0,0.03,0.001,False,0.17023619206955987,-0.26467570857682643,1.0268447740655957,0.5124555160142349,1.7766662119849153,281,23083.576392007777
2,2.0,0.03,0.0015,False,0.16992926994077062,-0.1957464706933708,1.073882613730768,0.5190839694656488,1.8036933933593775,262,22962.984547653807
3,3.0,0.03,0.0015,False,0.16867516685169948,-0.3184493758126423,0.9302180018188085,0.44155844155844154,1.9023929653219884,231,22476.428676979136
3,2.0,0.03,0.0015,False,0.1666687061062826,-0.2551076868995432,1.034695623829742,0.5130111524163569,1.7267579972876106,269,21718.29147209976
5,2.0,0.03,0.0015,False,0.1640417682847639,-0.26467570857682654,1.0117048016624808,0.5109489051094891,1.8119182892783074,274,20762.37543357917
5,3.0,0.03,0.001,False,0.16360645288952402,-0.3307908834966081,0.8830647318610508,0.4344262295081967,1.784353980947437,244,20607.88095213709
2,3.0,0.03,0.0015,False,0.16359170090337094,-0.31085542443338465,0.9266123303489173,0.45,1.9967730912730346,220,20602.6646158027
3,1.5,0.03,0.001,False,0.162603914011189,-0.2778627660238706,1.0771000507882527,0.5785953177257525,1.5773433914070387,299,20256.22045366121
3,3.0,0.03,0.0015,True,0.16113067357023492,-0.4212685085789196,0.7674887030344966,0.384180790960452,1.699451046108644,354,19749.779072874004
5,1.5,0.03,0.001,False,0.1602679341741231,-0.26212351278054025,1.0476304532221177,0.5751633986928104,1.6577674562288949,306,19458.81237171236
2,1.5,0.03,0.001,False,0.15952859737104474,-0.20417814752993824,1.0755553041240564,0.5782312925170068,1.6357256375812377,294,19212.7087927844
3,3.0,0.03,0.001,False,0.1586475136434451,-0.31844937581264254,0.8701069896036709,0.4309623430962343,1.749487724642547,239,18923.28277343731
5,3.0,0.03,0.0015,False,0.1577729584459715,-0.33079088349660846,0.8680155629610927,0.4345991561181435,1.8459396044008223,237,18640.10027168159
3,1.5,0.03,0.0015,False,0.15704384949637729,-0.2778627660238705,1.062745916055018,0.578397212543554,1.6233631339077401,287,18407.095123154224
2,3.0,0.03,0.001,False,0.1563867483253385,-0.3281464105905969,0.8739121714746104,0.4391304347826087,1.8319449565356325,230,18199.474616246607
2,1.5,0.03,0.0015,False,0.15595752432856425,-0.20417814752993835,1.075696391551528,0.5800711743772242,1.6914372573272152,281,18065.058390455262
5,1.5,0.03,0.0015,False,0.15274979030321578,-0.26212351278054036,1.0195733738269654,0.5728813559322034,1.6894005103584901,295,17089.965848739062
2,3.0,0.03,0.0015,True,0.15083343056667298,-0.5525879345097664,0.7354406303414874,0.38372093023255816,1.6724100704238245,344,16531.508346009447
3,3.0,0.03,0.001,True,0.14902536495241758,-0.4218029486096715,0.7142941044498875,0.3774104683195592,1.5876929993848723,363,16020.537860315912
2,3.0,0.03,0.001,True,0.14830381614928623,-0.5260757152115223,0.7160731516996351,0.38028169014084506,1.5850214609658777,355,15820.842131997248
2,2.0,0.03,0.001,True,0.14714172713707696,-0.27855964093690333,0.7854872639211726,0.44878048780487806,1.4327776969565436,410,15504.185059463483
2,2.0,0.03,0.0015,True,0.14598239636335397,-0.31628054420561946,0.7928900347334104,0.44974874371859297,1.4599130478252886,398,15194.284824481594
5,2.0,0.03,0.001,True,0.14579097458082013,-0.29405854632046735,0.7752348389079742,0.44902912621359226,1.5196974574903206,412,15143.685362692471
