Datetime,Open,High,Low,Close,Volume
2026-02-26 14:30:00+00:00,615.489990234375,615.530029296875,613.47998046875,613.8699951171875,2490902
2026-02-26 14:35:00+00:00,613.8699951171875,614.4199829101562,612.72998046875,613.9625244140625,1624718
2026-02-26 14:40:00+00:00,613.969970703125,614.4000244140625,612.9299926757812,613.7125854492188,962683
2026-02-26 14:45:00+00:00,613.7000122070312,613.7000122070312,612.3701171875,612.8800048828125,875942
2026-02-26 14:50:00+00:00,612.8599853515625,613.4299926757812,611.8699951171875,612.530029296875,845174
2026-02-26 14:55:00+00:00,612.5499877929688,613.1500244140625,611.730712890625,611.97998046875,1178293
2026-02-26 15:00:00+00:00,611.97998046875,612.3900146484375,610.510009765625,611.5100708007812,9015867
2026-02-26 15:05:00+00:00,611.52001953125,611.6099853515625,610.75,610.8400268554688,0
2026-02-26 15:10:00+00:00,610.8499755859375,611.5,608.8699951171875,608.9299926757812,10729670
2026-02-26 15:15:00+00:00,608.9349975585938,608.9349975585938,606.010009765625,606.2000122070312,0
2026-02-26 15:20:00+00:00,606.1900024414062,606.8699951171875,604.8900146484375,605.2999877929688,1595704
2026-02-26 15:25:00+00:00,605.2999877929688,606.6300048828125,604.5499877929688,605.7000122070312,1523795
2026-02-26 15:30:00+00:00,605.7100219726562,605.7949829101562,603.97998046875,604.2000122070312,1483449
2026-02-26 15:35:00+00:00,604.2100219726562,606.72998046875,604.1799926757812,606.7100219726562,1778190
2026-02-26 15:40:00+00:00,606.7100219726562,607.309326171875,606.3200073242188,607.0499877929688,16790732
2026-02-26 15:45:00+00:00,607.0499877929688,607.9400024414062,606.8099975585938,607.6699829101562,0
2026-02-26 15:50:00+00:00,607.6699829101562,607.9500122070312,606.9400024414062,607.5399780273438,961096
2026-02-26 15:55:00+00:00,607.5499877929688,607.8800048828125,606.8499755859375,607.2949829101562,1523406
2026-02-26 16:00:00+00:00,607.2999877929688,607.9299926757812,606.969970703125,607.8800048828125,18526188
2026-02-26 16:05:00+00:00,607.8499755859375,608.27001953125,607.239990234375,607.8699951171875,0
2026-02-26 16:10:00+00:00,607.8599853515625,608.529296875,607.780029296875,608.4099731445312,750633
2026-02-26 16:15:00+00:00,608.4199829101562,608.9598999023438,608.055908203125,608.1400146484375,571091
2026-02-26 16:20:00+00:00,608.1300048828125,608.75,607.969970703125,608.47998046875,19648910
2026-02-26 16:25:00+00:00,608.5,609.35498046875,608.489990234375,608.719970703125,0
2026-02-26 16:30:00+00:00,608.7249755859375,608.969970703125,608.4199829101562,608.8599853515625,807215
2026-02-26 16:35:00+00:00,608.8699951171875,608.9301147460938,607.4550170898438,607.7100219726562,20735417
2026-02-26 16:40:00+00:00,607.7100219726562,608.1599731445312,607.219970703125,607.3300170898438,0
2026-02-26 16:45:00+00:00,607.3200073242188,607.8099975585938,606.6799926757812,607.760009765625,523601
2026-02-26 16:50:00+00:00,607.7698974609375,608.0,606.75,606.760009765625,916025
2026-02-26 16:55:00+00:00,606.77001953125,606.8800048828125,606.1854858398438,606.4099731445312,436619
2026-02-26 17:00:00+00:00,606.4099731445312,607.27001953125,606.3300170898438,607.1937255859375,454501
2026-02-26 17:05:00+00:00,607.1900024414062,607.5150146484375,606.989990234375,607.030029296875,430212
2026-02-26 17:10:00+00:00,607.0599975585938,607.3800048828125,606.47998046875,606.5050048828125,399005
2026-02-26 17:15:00+00:00,606.5,606.75,606.1699829101562,606.47998046875,22782986
2026-02-26 17:20:00+00:00,606.47998046875,606.5800170898438,606.2100219726562,606.4500122070312,0
2026-02-26 17:25:00+00:00,606.4600219726562,606.6699829101562,606.3099975585938,606.52001953125,501975
2026-02-26 17:30:00+00:00,606.510009765625,607.47998046875,606.4500122070312,607.1099853515625,425994
2026-02-26 17:35:00+00:00,607.1199951171875,607.1199951171875,605.9600219726562,606.2100219726562,575586
2026-02-26 17:40:00+00:00,606.2100830078125,606.4000244140625,605.8900146484375,605.9400024414062,23867090
2026-02-26 17:45:00+00:00,605.9400024414062,606.0700073242188,605.27001953125,605.4000244140625,0
2026-02-26 17:50:00+00:00,605.3936767578125,606.1699829101562,605.1849975585938,606.1300048828125,421938
2026-02-26 17:55:00+00:00,606.1099853515625,606.1099853515625,605.5250244140625,605.719970703125,269709
2026-02-26 18:00:00+00:00,605.719970703125,605.8200073242188,605.1099853515625,605.27001953125,24749850
2026-02-26 18:05:00+00:00,605.280029296875,605.5198974609375,604.5399780273438,604.9996948242188,0
2026-02-26 18:10:00+00:00,604.9962768554688,605.4000244140625,604.9000244140625,605.0549926757812,410524
2026-02-26 18:15:00+00:00,605.0499877929688,605.5999755859375,604.6500244140625,605.5599975585938,338781
2026-02-26 18:20:00+00:00,605.5700073242188,605.6599731445312,605.0599975585938,605.6500244140625,322100
2026-02-26 18:25:00+00:00,605.6400146484375,605.72998046875,605.27001953125,605.3599853515625,293162
2026-02-26 18:30:00+00:00,605.3699951171875,606.8200073242188,605.0700073242188,606.6799926757812,600902
2026-02-26 18:35:00+00:00,606.6799926757812,607.4500122070312,606.2849731445312,607.239990234375,491482
2026-02-26 18:40:00+00:00,607.25,607.6099853515625,607.0499877929688,607.2849731445312,426588
2026-02-26 18:45:00+00:00,607.2899780273438,608.030029296875,606.8599853515625,607.27001953125,2166932
2026-02-26 18:50:00+00:00,607.27001953125,607.2999877929688,606.75,607.0900268554688,413988
2026-02-26 18:55:00+00:00,607.0900268554688,607.5700073242188,606.969970703125,607.3099975585938,305906
2026-02-26 19:00:00+00:00,607.3300170898438,608.0499877929688,607.010009765625,607.9199829101562,416671
2026-02-26 19:05:00+00:00,607.9400024414062,608.7000122070312,607.8599853515625,608.6199951171875,395107
2026-02-26 19:10:00+00:00,608.6500244140625,609.0150146484375,608.4600219726562,608.719970703125,683983
2026-02-26 19:15:00+00:00,608.719970703125,609.260009765625,608.7000122070312,608.7999877929688,527297
2026-02-26 19:20:00+00:00,608.8300170898438,609.3599853515625,608.7000122070312,609.1699829101562,356831
2026-02-26 19:25:00+00:00,609.1724853515625,609.1799926757812,608.25,608.4492797851562,451707
2026-02-26 19:30:00+00:00,608.4450073242188,609.1599731445312,608.2349853515625,609.0399780273438,346276
2026-02-26 19:35:00+00:00,609.0499267578125,609.0999755859375,608.6699829101562,608.7999877929688,234560
2026-02-26 19:40:00+00:00,608.8099975585938,608.9299926757812,608.6300048828125,608.8250122070312,353678
2026-02-26 19:45:00+00:00,608.8250122070312,609.5374755859375,608.8200073242188,609.3599853515625,304187
2026-02-26 19:50:00+00:00,609.3300170898438,609.47998046875,608.989990234375,609.47998046875,383225
2026-02-26 19:55:00+00:00,609.47998046875,609.6599731445312,608.7310791015625,608.7999877929688,434622
2026-02-26 20:00:00+00:00,608.780029296875,609.3900146484375,608.5700073242188,609.2999877929688,354573
2026-02-26 20:05:00+00:00,609.2999877929688,609.5399780273438,608.4299926757812,608.4600219726562,288734
2026-02-26 20:10:00+00:00,608.469970703125,608.530029296875,608.1500244140625,608.1600952148438,282143
2026-02-26 20:15:00+00:00,608.1300048828125,608.5599975585938,607.9199829101562,608.4199829101562,371621
2026-02-26 20:20:00+00:00,608.4299926757812,608.5,607.8699951171875,608.0700073242188,280016
2026-02-26 20:25:00+00:00,608.0900268554688,608.3800048828125,607.9000244140625,607.969970703125,764240
2026-02-26 20:30:00+00:00,607.9650268554688,608.9450073242188,607.9299926757812,608.9450073242188,325693
2026-02-26 20:35:00+00:00,608.9299926757812,609.030029296875,608.6389770507812,608.969970703125,352813
2026-02-26 20:40:00+00:00,608.9550170898438,609.010009765625,608.52001953125,608.8599243164062,287034
2026-02-26 20:45:00+00:00,608.8499755859375,608.9298706054688,608.3900146484375,608.64501953125,425468
2026-02-26 20:50:00+00:00,608.6400146484375,608.9199829101562,608.25,608.844970703125,600422
